,Word,Frequency
0,atom,1
1,habit,5
2,easi,1
3,proven,1
4,way,2
5,build,1
6,good,2
7,break,1
8,bad,1
9,one,1
10,will,1
11,greenlight,1
12,american,1
13,elit,1
14,get,2
15,rich,6
16,help,1
17,china,1
18,win,3
19,subtl,1
20,art,1
21,of,43
22,give,1
23,f,1
24,ck,1
25,counterintuit,1
26,approach,1
27,live,1
28,life,10
29,project,2
30,hail,1
31,mari,1
32,thing,2
33,love,5
34,novel,15
35,harri,7
36,potter,7
37,sorcer,1
38,stone,1
39,book,18
40,ca,2
41,hurt,1
42,master,2
43,mind,3
44,defi,1
45,odd,1
46,appl,1
47,never,2
48,fall,2
49,maid,1
50,chamber,1
51,secret,3
52,rule,2
53,antidot,1
54,chao,2
55,lincoln,1
56,highway,1
57,nors,1
58,mytholog,1
59,prison,1
60,azkaban,1
61,judg,1
62,list,2
63,goblet,1
64,fire,3
65,perfect,1
66,correct,1
67,answer,1
68,everi,2
69,moral,1
70,question,1
71,real,1
72,anthoni,1
73,fauci,1
74,bill,1
75,gate,1
76,big,1
77,pharma,1
78,global,1
79,war,2
80,democraci,1
81,public,1
82,health,1
83,seven,1
84,husband,1
85,evelyn,1
86,hugo,1
87,remind,1
88,order,3
89,phoenix,1
90,last,3
91,told,1
92,friend,1
93,influenc,1
94,peopl,5
95,dune,2
96,midnight,1
97,librari,1
98,atla,1
99,heart,2
100,map,1
101,meaning,1
102,connect,1
103,languag,3
104,human,1
105,experi,1
106,bodi,3
107,keep,1
108,score,1
109,brain,1
110,heal,2
111,trauma,2
112,princ,1
113,veriti,1
114,deathli,1
115,hallow,1
116,spark,1
117,end,1
118,us,1
119,quicksilv,1
120,four,3
121,agreement,1
122,law,1
123,power,4
124,crawdad,1
125,sing,1
126,highli,1
127,effect,1
128,lesson,2
129,person,1
130,chang,2
131,wish,3
132,great,1
133,hunt,1
134,two,1
135,wheel,7
136,time,7
137,split,1
138,differ,1
139,negoti,1
140,depend,1
141,storytel,1
142,tale,1
143,music,1
144,dragon,1
145,reborn,1
146,three,1
147,promis,1
148,land,2
149,new,1
150,origin,1
151,stori,2
152,extrem,1
153,ownership,1
154,navi,1
155,seal,1
156,lead,2
157,dad,4
158,poor,4
159,anniversari,1
160,edit,1
161,teach,2
162,kid,2
163,money,3
164,that,4
165,middl,2
166,class,2
167,enough,1
168,alreadi,1
169,learn,1
170,today,1
171,happen,1
172,convers,2
173,resili,1
174,unfu,1
175,k,1
176,head,1
177,shadow,1
178,rise,1
179,flicker,1
180,dark,2
181,step,2
182,far,1
183,franki,1
184,elkin,1
185,high,1
186,take,1
187,control,1
188,simpl,1
189,eye,2
190,world,3
191,redeem,1
192,alchemist,1
193,fabl,1
194,follow,1
195,dream,1
196,born,1
197,crime,1
198,south,1
199,african,1
200,childhood,1
201,silent,1
202,patient,1
203,five,2
204,billi,1
205,summer,2
206,think,4
207,grow,1
208,becom,1
209,wind,1
210,guid,1
211,spiritu,1
212,enlighten,1
213,go,1
214,tell,1
215,bee,1
216,gone,1
217,outland,1
218,heaven,1
219,principl,2
220,success,1
221,achiev,1
222,less,1
223,babi,1
224,millionair,1
225,ordinari,1
226,built,1
227,extraordinari,1
228,wealth,2
229,dare,1
230,brave,1
231,work,1
232,tough,1
233,whole,1
234,untam,1
235,like,1
236,monk,1
237,train,1
238,peac,1
239,purpos,1
240,day,1
241,defianc,1
242,litrpg,2
243,adventur,1
244,seventh,1
245,realm,2
246,part,1
247,fantasi,1
248,seri,1
249,ten,1
250,von,1
251,neumann,1
252,munro,1
253,sword,1
254,destini,1
255,psycholog,2
256,timeless,1
257,greed,1
258,happi,2
259,blood,1
260,elv,1
261,hypothesi,1
262,deal,1
263,nation,1
264,succeed,1
265,fail,1
266,invis,1
267,addi,1
268,laru,1
269,club,1
270,morn,1
271,elev,1
272,propos,1
273,analyz,1
274,improv,1
275,emot,1
276,intellig,1
277,speed,1
278,read,1
279,sight,1
280,stop,1
281,manipul,1
282,defeat,1
283,anxieti,1
284,cbt,1
285,lord,1
286,six,1
287,talk,1
288,stranger,1
289,know,4
290,sapien,1
291,brief,1
292,histori,1
293,humankind,1
294,cloud,1
295,cuckoo,1
296,game,1
297,throne,1
298,song,1
299,ice,1
300,messiah,1
301,guest,1
302,beyond,1
303,stolen,1
304,focu,1
305,pay,1
306,attent,1
307,deepli,1
